Field Name,Field Type,Field Mode
state_number,INTEGER,NULLABLE
state_name,STRING,NULLABLE
consecutive_number,INTEGER,NULLABLE
number_of_vehicle_forms_submitted_all,INTEGER,NULLABLE
number_of_motor_vehicles_in_transport_mvit,INTEGER,NULLABLE
number_of_parked_working_vehicles,INTEGER,NULLABLE
number_of_forms_submitted_for_persons_not_in_motor_vehicles,INTEGER,NULLABLE
number_of_persons_not_in_motor_vehicles_in_transport_mvit,INTEGER,NULLABLE
number_of_persons_in_motor_vehicles_in_transport_mvit,INTEGER,NULLABLE
number_of_forms_submitted_for_persons_in_motor_vehicles,INTEGER,NULLABLE
county,INTEGER,NULLABLE
city,INTEGER,NULLABLE
day_of_crash,INTEGER,NULLABLE
month_of_crash,INTEGER,NULLABLE
year_of_crash,INTEGER,NULLABLE
day_of_week,INTEGER,NULLABLE
hour_of_crash,INTEGER,NULLABLE
minute_of_crash,INTEGER,NULLABLE
national_highway_system,INTEGER,NULLABLE
land_use,INTEGER,NULLABLE
land_use_name,STRING,NULLABLE
functional_system,INTEGER,NULLABLE
functional_system_name,STRING,NULLABLE
ownership,INTEGER,NULLABLE
ownership_name,STRING,NULLABLE
route_signing,INTEGER,NULLABLE
route_signing_name,STRING,NULLABLE
trafficway_identifier,STRING,NULLABLE
trafficway_identifier_2,STRING,NULLABLE
milepoint,INTEGER,NULLABLE
latitude,FLOAT,NULLABLE
longitude,FLOAT,NULLABLE
special_jurisdiction,INTEGER,NULLABLE
special_jurisdiction_name,STRING,NULLABLE
first_harmful_event,INTEGER,NULLABLE
first_harmful_event_name,STRING,NULLABLE
manner_of_collision,INTEGER,NULLABLE
manner_of_collision_name,STRING,NULLABLE
relation_to_junction_within_interchange_area,STRING,NULLABLE
relation_to_junction_specific_location,INTEGER,NULLABLE
relation_to_junction_specific_location_name,STRING,NULLABLE
type_of_intersection,STRING,NULLABLE
work_zone,STRING,NULLABLE
relation_to_trafficway,INTEGER,NULLABLE
relation_to_trafficway_name,STRING,NULLABLE
light_condition,INTEGER,NULLABLE
light_condition_name,STRING,NULLABLE
atmospheric_conditions_1,INTEGER,NULLABLE
atmospheric_conditions_1_name,STRING,NULLABLE
atmospheric_conditions_2,INTEGER,NULLABLE
atmospheric_conditions_2_name,STRING,NULLABLE
atmospheric_conditions,INTEGER,NULLABLE
atmospheric_conditions_name,STRING,NULLABLE
school_bus_related,STRING,NULLABLE
rail_grade_crossing_identifier,STRING,NULLABLE
hour_of_notification,INTEGER,NULLABLE
minute_of_notification,INTEGER,NULLABLE
hour_of_arrival_at_scene,INTEGER,NULLABLE
minute_of_arrival_at_scene,INTEGER,NULLABLE
hour_of_ems_arrival_at_hospital,INTEGER,NULLABLE
minute_of_ems_arrival_at_hospital,INTEGER,NULLABLE
related_factors_crash_level_1,INTEGER,NULLABLE
related_factors_crash_level_1_name,STRING,NULLABLE
related_factors_crash_level_2,INTEGER,NULLABLE
related_factors_crash_level_2_name,STRING,NULLABLE
related_factors_crash_level_3,INTEGER,NULLABLE
related_factors_crash_level_3_name,STRING,NULLABLE
number_of_fatalities,INTEGER,NULLABLE
number_of_drunk_drivers,INTEGER,NULLABLE
timestamp_of_crash,TIMESTAMP,NULLABLE
